manufacturer;name;rname;cores;threads;base;boost;l1;l2;l3;l1asso;pagesize;loadbuffer;l1dtlb;microarchitecture
Intel;Intel(R) Pentium(R) Dual CPU E2180;;2;2;2.00;2.00;32;1024;;8;4096;;64;Allendale
Intel;Intel(R) Pentium(R) Dual-Core CPU T4500;;2;2;2.30;2.30;32;2048;;8;4096;;64;Penryn
AMD;AMD Ryzen 7 3700U;;4;8;2.30;4.00;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-5300U;;2;4;2.30;2.90;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM)2 Duo CPU P7550;;2;2;2.26;2.26;32;3072;;8;4096;;64;Penryn
Intel;Intel(R) Core(TM) i3-4030U;;2;4;1.90;1.90;32;256;3;8;4096;;64;Haswell
AMD;AMD Ryzen 5 2400G;;4;8;3.60;3.90;32;512;4;8;4096;;64;Zen
Intel;Intel(R) Pentium(R) CPU G4400;;2;2;3.30;3.30;32;256;3;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-3337U;;2;4;1.80;2.70;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-4600M;;2;4;2.90;3.60;32;256;4;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-10600K;;6;12;4.10;4.80;32;256;12;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i5-3300;;4;4;3.00;3.20;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-4310M;;2;4;2.70;3.40;32;256;3;8;4096;;64;Haswell
AMD;AMD Ryzen 5 3450U;;4;8;2.10;3.50;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Atom(TM) x7-Z8700;;4;4;1.60;2.40;24;1024;;6;4096;;64;Airmont
Intel;Intel(R) Core(TM) i7-4810MQ;;4;8;2.80;3.80;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-3667U;;2;4;2.00;3.20;32;256;4;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-4770HQ;;4;8;2.20;3.40;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-4005U;;2;4;1.70;1.70;32;256;3;8;4096;;64;Haswell
AMD;AMD A8-4500M APU;;4;4;1.90;2.80;16;2048;;4;4096;;64;Piledriver
AMD;AMD Ryzen 9 4900HS;;8;16;4.30;4.30;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-4210M;;2;4;2.60;3.20;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-4590T;;4;4;2.00;3.00;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Pentium(R) CPU N3700;;4;4;1.60;2.40;24;1024;;6;4096;;64;Airmont
Intel;Intel(R) Core(TM) i7-6920HQ;;4;8;2.90;3.80;32;256;8;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i7-9750H;;6;12;2.60;4.50;32;256;12;8;4096;;64;Coffee Lake
AMD;AMD Ryzen 7 3700U;;4;8;2.30;4.00;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-1035G7;;4;8;1.20;3.70;48;512;6;12;4096;;64;Ice Lake
AMD;AMD A10-9620P;;4;4;2.50;3.40;32;1024;;8;4096;;64;Excavator
Intel;Intel(R) Core(TM) i7-3630QM;;4;8;2.40;3.40;32;256;6;8;4096;;64;Ivy Bridge
Intel;AMD A8-5500 APU;;4;4;3.20;3.70;16;2048;;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i5-6600;;4;4;3.30;3.90;32;256;6;8;4096;;64;Skylake
Intel;Intel(R) Celeron(R) CPU N2830;;2;2;2.16;2.42;24;1024;;6;4096;;64;Silvermont
Intel;Intel(R) Core(TM) i7-4710HQ;;4;8;2.50;3.50;32;256;6;8;4096;;64;Haswell
AMD;AMD Ryzen 5 2500U;;4;8;2.00;3.60;32;512;4;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i3-10110U;;2;4;2.10;4.10;32;256;4;8;4096;;64;Comet Lake
Intel;Intel(R) Pentium(R) Silver N5000 CPU;;4;4;1.10;2.70;24;4096;;6;4096;;64;Gemini Lake
Intel;Intel(R) Core(TM) i3-4150;;2;4;3.50;3.50;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-7920HQ;;4;8;3.10;4.10;32;256;8;8;4096;;64;Kaby Lake
Intel;Intel(R) Pentium(R) CPU N3540;;4;4;2.16;2.66;24;1024;;6;4096;;64;Silvermont
Intel;Intel(R) Pentium(R) CPU N3710;;4;4;1.60;2.56;24;1024;;6;4096;;64;Airmont
Intel;Intel(R) Celeron (R) N3050 CPU;;2;2;1.60;2.16;24;1024;;6;4096;;64;Airmont
Intel;Intel(R) Core(TM) i7-4770HQ;;4;8;2.20;3.40;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-4700MQ;;4;8;2.40;3.40;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-6360U;;2;4;2.00;3.10;32;256;4;8;4096;;64;Skylake
Intel;AMD FX(TM)-8320;;8;8;3.50;4.00;16;2048;8;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i3-4130;;2;4;3.40;3.40;32;256;3;8;4096;;64;Haswell
AMD;AMD Ryzen 3 3200G;;4;4;3.60;4.00;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-3330;;4;4;3.00;3.20;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-2500K;;4;4;3.30;3.70;32;256;6;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-9700KF;;8;8;3.60;4.90;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i9-9900KF;;8;16;3.60;5.00;32;256;16;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-4430;;4;4;3.00;3.20;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-1000NG4;;2;4;1.10;3.20;48;512;4;12;4096;;64;Ice Lake
Intel;Intel(R) Core(TM) i7-2630QM;;4;8;2.00;2.90;32;256;6;8;4096;;64;Sandy Bridge
AMD;AMD Ryzen 7 1700;;8;16;3.00;3.70;32;512;8;8;4096;;64;Zen
Intel;Intel(R) Pentium(R) CPU J4205;;4;4;1.50;2.60;24;1024;;6;4096;;64;Goldmont
Intel;Intel(R) Core(TM)2 Duo CPU E8400;;2;2;3.00;3.00;32;6144;;8;4096;;64;Wolfdale
Intel;Intel(R) Pentium (R) CPU G620T;;2;2;2.20;2.20;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) M-5Y71;;2;4;1.20;2.90;32;256;4;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i5-3320M;;2;4;2.60;3.30;32;256;3;8;4096;;64;Ivy Bridge
AMD;AMD A10-8700P;;4;4;1.80;3.20;32;1024;;8;4096;;64;Excavator
AMD;AMD Turion(TM) II P520;;2;2;2.30;2.30;64;1024;;2;4096;;64;K10
AMD;AMD Athlon(TM) Silver 3050U;;2;2;2.30;3.20;32;512;4;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i3-4012Y;;2;4;1.50;1.50;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Celeron(R) N4020 CPU;;2;2;1.10;2.80;24;4096;;6;4096;;64;Goldmont Plus
Intel;Intel(R) Core(TM) i5-2320;;4;4;3.00;3.30;32;256;6;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-9700F;;8;8;3.00;4.70;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-2410M;;2;4;2.30;2.90;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i3-9100T;;4;4;3.10;3.70;32;256;6;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-3632QM;;4;8;2.20;3.20;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i3-2350M;;2;4;2.30;2.30;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i5-3350P;;4;4;3.10;3.30;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i3-5005U;;2;4;2.00;2.00;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i3-3240;;2;4;1.60;3.40;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i9-10900;;10;20;2.80;5.10;32;256;20;8;4096;;64;Comet Lake
Intel;Intel(R) Celeron(R) CPU B820;;2;2;1.70;1.70;32;256;2;8;4096;;64;Sandy Bridge
Intel;Intel(R) Pentium(R) CPU G860;;2;2;3.00;3.00;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-7600U;;2;4;2.80;3.90;32;256;4;8;4096;;64;Kaby Lake
AMD;AMD Ryzen 5 3500;;6;6;3.60;4.10;32;512;16;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i7-4790;;4;8;3.60;4.00;32;256;8;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-7700;;4;8;3.60;4.20;32;256;8;8;4096;;64;Kaby Lake
AMD;AMD Ryzen 3 2200G;;4;4;3.50;3.70;32;512;4;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i7-4720HQ;;4;8;2.60;3.60;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i9-7900X;;10;20;3.30;4.50;32;1024;13;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-5575R;;4;4;2.80;3.30;32;256;4;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM)2 Duo CPU T9400;;2;2;2.53;2.53;32;6144;;8;4096;;64;Penryn
Intel;Intel(R) Celeron(R) CPU B840;;2;2;1.90;1.90;32;256;2;8;4096;;64;Sandy Bridge
Intel;Intel(R) Atom(TM) x5-E8000;;4;4;1.04;2.00;24;1024;;6;4096;;64;Airmont
Intel;Intel(R) Core(TM) i5-8257U;;4;8;1.40;3.90;32;256;6;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-4258U;;2;4;2.40;2.90;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-3687U;;2;4;2.10;3.30;32;256;4;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-2640M;;2;4;2.80;3.50;32;256;4;8;4096;;64;Sandy Bridge
Intel;AMD A4-3300M APU;;2;2;1.90;2.50;64;1024;;2;4096;;64;K10
Intel;AMD Ryzen 5 5500U;;6;12;2.10;4.00;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-2435M;;2;4;2.40;3.00;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i9-9900;;8;16;3.10;5.00;32;256;16;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-4460;;4;4;3.20;3.40;32;256;6;8;4096;;64;Haswell
Intel;AMD FX(TM)-6100;;6;6;3.30;3.90;16;2048;8;4;4096;;64;Bulldozer
Intel;Intel(R) Core(TM) i7-8700T;;6;12;2.40;4.00;32;256;12;8;4096;;64;Coffee Lake
Intel;AMD E1-1200 APU;;2;2;1.40;1.40;32;512;;8;4096;;64;Bobcat
Intel;Intel(R) Core(TM) i5-4690T;;4;4;2.50;3.50;32;256;6;8;4096;;64;Haswell
Intel;AMD Ryzen 7 1800X;;8;16;3.60;4.00;32;512;8;8;4096;;64;Zen
