manufacturer;name;rname;cores;threads;base;boost;l1;l2;l3;l1asso;pagesize;loadbuffer;l1dtlb;microarchitecture
Intel;Intel(R) Core(TM) i5-3570;;4;4;3.40;3.80;32;256;6;8;4096;;64;Ivy Bridge
AMD;AMD Ryzen 5 1600;;6;12;3.20;3.60;32;512;8;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i7-8559U;;4;8;2.70;4.50;32;256;8;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-3720QM;;4;8;2.60;3.60;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-8569U;;4;8;2.80;4.70;32;256;8;8;4096;;64;Coffee Lake
AMD;AMD Ryzen 5 3600;;6;12;3.60;4.20;32;512;16;8;4096;;64;Zen 2
AMD;AMD Ryzen 5 2600;;6;12;3.40;3.90;32;512;8;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-6300U;;2;4;2.40;3.00;32;256;3;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i7-9750H;;6;12;2.60;4.50;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-8850H;;6;12;2.60;4.30;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-4600U;;2;4;2.10;3.30;32;256;4;8;4096;;64;Haswell
Intel;Intel(R) Code(TM) i7-4850HQ;;4;8;2.30;3.50;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-4870HQ;;4;8;2.50;3.70;32;256;6;8;4096;;64;Haswell
HiSilicon;HiSilicon Kirin 970;Cortex-A73/-A53;8;8;2.36;2.80;64;2048;;4;4096;;;Cortex-A73/-A53
AMD;AMD Ryzen 7 5800X;;8;16;3.80;4.70;32;512;32;8;4096;;64;Zen 3
AMD;AMD A4-4300M APU;;2;2;2.50;3.00;16;1024;;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i7-2620M;;2;4;2.70;3.40;32;256;4;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-4790K;;4;8;4.00;4.40;32;256;8;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-8250U;;4;8;1.60;3.40;32;256;6;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-4300M;;2;4;2.60;3.30;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-6006U;;2;4;2.00;2.00;32;256;3;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-7360U;;2;4;2.30;3.60;32;256;4;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-8600;;6;6;3.10;4.30;32;256;9;8;4096;;64;Coffee Lake
AMD;AMD Ryzen 7 4700U;;8;8;2.00;4.10;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-6500;;4;4;3.20;3.60;32;256;6;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i7-8750H;;6;12;2.20;4.10;32;256;9;8;4096;;64;Coffee Lake
HiSilicon;HiSilicon Kirin 960;Cortex-A73/-A53;8;8;2.36;2.80;64;2048;;4;4096;;;Cortex-A73/-A53
Intel;Intel(R) Core(TM) i5-8210Y;;2;4;1.60;3.60;32;256;4;8;4096;;64;Amber Lake
Intel;Intel(R) Core(TM) i7-3520M;;2;4;2.90;3.60;32;256;4;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-6700HQ;;4;8;2.60;3.50;32;256;6;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i7-3770S;;4;8;3.10;3.90;32;256;8;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-5500U;;2;4;2.40;3.00;32;256;4;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i7-1065G7;;4;8;1.30;3.90;32;512;8;12;4096;;64;Ice Lake
Intel;Intel(R) Core(TM) i5-2520M;;2;4;2.50;3.20;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-6800K;;6;12;3.40;3.60;32;256;15;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i5-9600K;;6;6;3.70;4.60;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-5600U;;2;4;2.60;3.20;32;256;4;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i7-7660U;;2;4;2.50;4.00;32;256;4;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-3770;;4;8;3.40;3.90;32;256;8;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-3570K;;4;4;3.40;3.80;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-4770K;;4;8;3.50;3.90;32;256;8;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-9700K;;8;8;3.60;4.90;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-4288U;;2;4;2.60;3.10;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-4300U;;2;4;1.90;2.90;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-1185G7;;4;8;3.00;4.80;48;1280;12;12;4096;;64;Tiger Lake
Intel;Intel(R) Core (TM) i5-10300H;;4;8;2.50;4.50;32;256;8;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i7-5650U;;2;4;2.20;3.20;32;256;4;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i9-9900K;;8;16;3.60;5.00;32;256;16;8;4096;;64;Coffee Lake
AMD;AMD Ryzen 5 3500U;;4;8;2.10;3.70;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i7-1165G7;;4;8;2.80;4.70;48;1280;12;12;4096;;64;Tiger Lake
AMD;AMD Ryzen 5 3400G;;4;8;3.70;4.20;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-7200U;;2;4;2.50;3.10;32;256;3;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-3470T;;2;4;2.90;3.60;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-9750HF;;6;12;2.60;4.50;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-1135G7;;4;8;2.40;4.20;48;1280;8;12;4096;;64;Tiger Lake
Intel;Intel(R) Core(TM) i5-8400;;6;6;2.80;4.00;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-10700K;;8;16;3.80;5.10;32;256;16;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i3-5015U;;2;4;2.10;2.10;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i7-10870H;;8;16;2.20;5.00;32;256;16;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i5-5200U;;2;4;2.20;2.70;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i3-7100;;2;4;3.90;3.90;32;256;3;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-8700K;;6;12;3.70;4.70;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-2720QM;;4;8;2.20;3.30;32;256;6;8;4096;;64;Sandy Bridge
AMD;AMD Ryzen 5 3400G;;4;8;3.70;4.20;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-6300HQ;;4;4;2.30;3.20;32;256;6;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-3750K;;4;4;3.40;3.80;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-4770;;4;8;3.40;3.90;32;256;8;8;4096;;64;Haswell
